isolate.code,source,isolation.latitude,isolation.longitude,habitat,name,speciesname,former.name.1,former.name.2,strain,clone,species,genus,family,order,class,phylum,kingdom,domain,comment,group,mu.rsqrlist,mu.wlist,mu.alist,mu.blist,mu.slist,mu.c.opt.list,mu.c.opt.val.list,mu.g.opt.list,mu.g.opt.val.list,mu.n,emp.max.growth,tmin,tmax,minqual,maxqual,curvequal,abs.curveskew,rel.curveskew,used.for.optimum.analysis,used.for.tmax.analysis,used.for.tmin.analysis,used.for.niche.width.analysis,used.for.max.growth.rate.analysis
13,"Southern Ocean, Indian sector",-58,62,marine,Synedra sp.,Synedra ,,,,,,Synedra,Fragilariaceae,Fragilariales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,"Latitude approximate. Based on information from Jacques (1983), Fiala & Oriol (1984), & Fiala & Oriol (1990), there are 5 possible isolation locations, all along the same longitude: 48S, 54S, 58S, 60S, and 65S. In the absence of further information from the authors, I have used the median location.",diatoms,0.952431168,54.91333473,0.763904447,0.263032761,0.046716514,-19.40192814,0.00464179,4.514879836,0.604254194,8,0.561,-46.85859551,8.054739224,bad,good,bad,-29.36712702,-0.030684995,1,1,0,0,1
14,"Big Glory Bay, New Zealand",-46.98,168.12,marine,Emiliania huxleyi,Emiliania huxleyi,Coccolithus huxleyi,,,,huxleyi,Emiliania,Noëlaerhabdaceae,Isochrysidales,Coccolithophyceae,Haptophyta,Chromista,Eukaryota,,coccolithophores,0.999974775,19.98928113,0.309317557,0.057277263,0.002154722,20.00589356,0.97287079,22.66390315,1.052731206,5,0.97595123,10.01125299,30.00053413,good,good,good,-111.0683409,-0.013905889,1,1,1,1,1
15,West New Zealand,-42.18,169.5,marine,Emiliania huxleyi R strain TQ26,Emiliania huxleyi,Coccolithus huxleyi,,R strain TQ26,,huxleyi,Emiliania,Noëlaerhabdaceae,Isochrysidales,Coccolithophyceae,Haptophyta,Chromista,Eukaryota,,coccolithophores,0.953963831,28.3163893,0.117011206,0.14093529,0.083432957,12.37260556,0.6691488,21.11438303,1.419435423,6,1.377,-1.785589088,26.53080021,bad,good,bad,-484.9523662,-0.021359223,1,1,0,0,1
16,"Lake Grassmere, NZ",-41.73,174.17,saline lake,Dunaliella viridis,Dunaliella viridis,Dunaliella euchlora,,,,viridis,Dunaliella,Dunaliellaceae,Chlamydomonadales,Chlorophyceae,Chlorophyta,Plantae,Eukaryota,,greens,0.65887546,49.50862514,0.919116286,-0.012271091,0.126511005,29.98540155,0.636165702,26.30750464,0.650843197,20,0.804050729,5.231088983,54.73971412,good,bad,bad,960.6413291,0.007916235,0,0,0,0,0
17,"Lake Grassmere, NZ",-41.73,174.17,saline lake,Dunaliella salina,Dunaliella salina,,,,,salina,Dunaliella,Dunaliellaceae,Chlamydomonadales,Chlorophyceae,Chlorophyta,Plantae,Eukaryota,,greens,0.733230091,30.01389376,0.338714659,0.035970972,0.127710217,20.24869084,0.70171205,24.04136555,0.752910906,30,1.038334476,5.241743956,35.25563772,good,good,good,-358.5065175,-0.013259588,0,0,0,0,0
18,"Wellington Harbour, New Zealand",-41.27,174.85,marine,Fibrocapsa japonica strain CAWR-19,Fibrocapsa japonica,,,CAWR-19,,japonica,Fibrocapsa,Chattonellaceae,Chattonellales,Raphidophyceae,Ochrophyta,Chromista,Eukaryota,,raphidophytes,0.975779107,29.08491845,0.18610118,0.022667765,0.016956757,20.31471156,0.294942259,22.65169693,0.302956663,10,0.305,5.772252331,34.85717079,good,good,good,-210.4789332,-0.008554706,1,1,1,1,1
21,"Waikato River, New Zealand",-37.27,174.85,freshwater,Anabaena sp.,Anabaena ,,,,,,Anabaena,Nostocaceae,Nostocales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,,cyanobacteria,0.969090856,38.72616529,0.033454184,0.107963774,0.021467762,19.33406548,0.269766169,31.53586218,0.607228784,4,0.604424341,-0.02901716,38.69714813,bad,good,bad,-1213.890663,-0.020948006,1,1,0,0,1
22,"Manukau, New Zealand",-37,174.87,freshwater,Chlorella sp.,Chlorella ,,,,,,Chlorella,Chlorellaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,Plantae,Eukaryota,,greens,0.99992509,29.3656362,1.365764432,-0.015680666,0.005536374,28.4445784,0.874314067,26.77512609,0.885901304,4,0.879603772,13.7617603,43.1273965,good,bad,bad,153.8158329,0.006074112,1,0,1,0,1
24,SW Pacific Ocean,-36.3,174.81,marine,"Gephyrocapsa oceanica strain AB1, CAWPOT",Gephyrocapsa oceanica,,,"AB1, CAWPOT",,oceanica,Gephyrocapsa,Noëlaerhabdaceae,Isochrysidales,Coccolithophyceae,Haptophyta,Chromista,Eukaryota,,coccolithophores,0.81239903,24.90111734,0.26227299,0.068890873,0.166936711,17.68669798,0.886993776,22.29491187,1.051500332,14,1.178350207,5.236139316,30.13725665,good,good,good,-286.9373587,-0.018583632,1,1,1,1,1
25,"Port River, Australia",-34.8,138.51,estuarine,Alexandrium minutum,Alexandrium minutum,,,,,minutum,Alexandrium,Gonyaulacaceae,Gonyaulacales,Dinophyceae,Dinophyta,Chromista,Eukaryota,,dinoflagellates,0.997451269,59.91049198,2.772977743,-0.078437666,0.004059548,40.47773198,0.115896574,20.67170892,0.308419717,4,0.301519024,10.52248599,70.43297797,good,bad,bad,4185.493847,0.019464267,1,0,1,0,1
26,"South Atlantic, off South Africa",-34.28,17.18,marine,Calcidiscus leptoporus strain NS10-2,Calcidiscus leptoporus,,,NS10-2,,leptoporus,Calcidiscus,Calcidiscaceae,Coccolithales,Coccolithophyceae,Haptophyta,Chromista,Eukaryota,,coccolithophores,0.662141489,18.39921116,0.449398741,-0.00630656,0.124556842,15.73266197,0.406950508,15.46532963,0.407292963,6,0.569,6.533056387,24.93226755,good,good,good,9.704694034,0.00155806,1,1,1,1,1
28,"Bowmans Crossing, Hunter River, NSW, Australia",-32.48,150.83,freshwater,Cyclotella meneghiniana strain Hunter River,Cyclotella meneghiniana,,,Hunter River,,meneghiniana,Cyclotella,Stephanodiscaceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,,diatoms,0.925200741,40.36374152,0.03432926,0.151847069,0.038966866,9.800026983,0.152033885,24.44455949,0.665243459,6,0.711,-10.38184378,29.98189774,bad,good,bad,-791.5534789,-0.02936993,1,1,0,0,1
29,"Bourke reservoir, Australia",-30.09,145.94,freshwater,Cylindrospermopsis raciborskii strain CYP-026J,Cylindrospermopsis raciborskii,,,CYP-026J,,raciborskii,Cylindrospermopsis,Nostocaceae,Nostocales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,,cyanobacteria,0.994248891,30.8366248,0.151986755,0.039155605,0.011103147,24.96008403,0.403881119,29.25253598,0.440768307,6,0.423,9.54177163,40.37839643,bad,good,bad,-425.4299302,-0.014508668,1,1,0,0,1
30,"Indian Ocean, off S. Africa",-29.82,31.02,marine,Emiliania huxleyi strain S. Africa,Emiliania huxleyi,Coccolithus huxleyi,,S. Africa,,huxleyi,Emiliania,Noëlaerhabdaceae,Isochrysidales,Coccolithophyceae,Haptophyta,Chromista,Eukaryota,,coccolithophores,0.944552532,22.78359671,0.221862391,0.062049227,0.067578574,19.96339796,0.765684912,23.58273862,0.861727998,8,0.879603772,8.571599607,31.35519631,good,good,good,-193.325183,-0.016346379,1,1,1,1,1
31,"Hartbeespoort Dam, SA",-25.75,27.86,freshwater,Microcystis aeruginosa strain UV-006,Microcystis aeruginosa,,,UV-006,,aeruginosa,Microcystis,Microcystaceae,Chroococcales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,,cyanobacteria,0.991458138,27.4115418,0.044808456,0.093664043,0.019095939,25.46872267,0.486822903,32.16545468,0.693927591,6,0.682056826,11.76295177,39.17449357,good,good,good,-455.0356135,-0.022092507,1,1,1,1,1
32,"South Atlantic, off Namibia",-25,12,marine,Coccolithus pelagicus ssp. braarudii,Coccolithus pelagicus,Coccolithus braarudii,,N476-2,,pelagicus,Coccolithus,Coccolithaceae,Coccolithales,Coccolithophyceae,Haptophyta,Chromista,Eukaryota,,coccolithophores,0.999998604,24.35257567,0.306056363,0.015830109,0.000998084,15.28252393,0.389823197,16.44662243,0.393444101,4,0.388,3.106236092,27.45881176,good,bad,bad,-73.84722921,-0.005113279,1,0,1,0,1
33,"South Atlantic, off Namibia",-23,14,marine,Calcidiscus leptoporus strain N482-1,Calcidiscus leptoporus,,,N482-1,,leptoporus,Calcidiscus,Calcidiscaceae,Coccolithales,Coccolithophyceae,Haptophyta,Chromista,Eukaryota,,coccolithophores,0.924121581,18.20218315,0.142703247,0.06891395,0.053828979,15.88693606,0.426494213,18.50424672,0.468550345,6,0.442,6.785844489,24.98802763,good,good,good,-90.14065475,-0.01494687,1,1,1,1,1
34,"Port Smith, near Broome, Western Australia",-18.51,121.8,marine,Isochrysis sp. strain PS11,Isochrysis ,,,PS11,,,Isochrysis,Isochrysidaceae,Isochrysidales,Coccolithophyceae,Haptophyta,Chromista,Eukaryota,,haptophytes,0.880323246,28.62374145,0.54087277,-0.006470705,0.052812338,22.95764184,0.466208027,22.29850642,0.467207593,6,0.55,8.645771111,37.26951256,good,good,good,57.75840218,0.002462839,1,1,1,1,1
35,"Innisfail, Queensland, Australia",-17.52,146.03,estuarine,Chaetoceros sp. strain CS256,Chaetoceros ,,,CS256,,,Chaetoceros,Chaetocerotaceae,Chaetocerotales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,,diatoms,0.672788442,31.46064235,4.071131955,-0.048601079,0.028326683,34.73956116,0.752421142,29.41497705,0.862976378,5,0.87,19.00923998,50.46988234,bad,bad,bad,537.7364727,0.017268982,1,0,0,0,1
36,"Fitzroy Island, Queensland, Australia",-16.93,145.99,marine,Cryptomonas sp. strain CRFI01,Cryptomonas ,,,"CRFI01, CRF101",,,Cryptomonas,Cryptomonadaceae,Cryptomonadales,Cryptophyceae,Cryptophyta,Chromista,Eukaryota,,cryptophytes,0.996298677,14.73482266,0.100691398,0.046834835,0.008471552,25.56906882,0.333480203,26.80382512,0.343409052,4,0.33,18.20165749,32.93648015,bad,good,bad,-28.50504819,-0.008910192,0,0,0,0,0
37,Great Barrier Reef,-16.37,145.57,marine,Trichodesmium erythraeum strain GBRTRLI101,Trichodesmium erythraeum,,,GBRTRLI101,,erythraeum,Trichodesmium,Phormidiaceae,Oscillatoriales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,,cyanobacteria,0.789375593,19.06722437,0.04588242,0.076994098,0.069394516,25.4347362,0.325189021,28.55694943,0.369202901,40,0.594,15.90112402,34.96834839,good,good,good,-116.3245984,-0.016780664,1,1,1,1,1
38,"Mataiva,Tahiti, Society Islands",-14.88,-148.67,marine,"Isochrysis galbana clone T-ISO, NEPCC 601",Isochrysis galbana,,,,"NEPCC 601, T-ISO",galbana,Isochrysis,Isochrysidaceae,Isochrysidales,Coccolithophyceae,Haptophyta,Chromista,Eukaryota,,haptophytes,0.937981988,34.98123348,0.052474536,0.116670053,0.085044071,17.55473362,0.406848027,28.46129761,0.887599262,11,0.97,0.064116879,35.04535036,bad,good,bad,-905.1684993,-0.021145798,1,1,0,0,1
40,"Darwin Harbour, Northern Territory, Australia",-12.48,130.8,estuarine,Cylindrotheca closterium strain NT-6,Cylindrotheca closterium,Nitzschia closterium,,NT-6,,closterium,Cylindrotheca,Bacillariaceae,Bacillariales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,,diatoms,0.987616816,21.68905433,2.368726056,-0.068578155,0.023385917,26.80931509,0.376747124,23.21859481,0.429103205,5,0.38,15.96478792,37.65384225,good,good,good,172.9007469,0.016946305,1,1,1,1,1
41,"Darwin Harbour, Northern Territory, Australia",-12.48,130.8,estuarine,Nitzschia paleacea strain NT7,Nitzschia paleacea,Nitzschia frustulum,,NT7,,paleacea,Nitzschia,Bacillariaceae,Bacillariales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,,diatoms,0.941712656,27.8055505,0.16239799,0.048600913,0.034980059,16.05672962,0.354398424,20.31395823,0.394992951,5,0.38,2.153954372,29.95950487,bad,good,bad,-340.1698374,-0.015823455,1,1,0,0,1
43,"Darwin Harbour, Northern Territory, Australia",-12.48,130.8,estuarine,Unidentified prymnesiophyte strain NT19, ,,,NT19,,,,,,Coccolithophyceae,Haptophyta,Chromista,Eukaryota,,haptophytes,0.97637747,28.27715898,0.027591414,0.119711379,0.032758583,20.89083442,0.336424991,28.95951119,0.595996574,5,0.56,6.75225493,35.02941391,bad,good,bad,-505.910321,-0.022375164,1,1,0,0,1
45,NA,-11.54,-28.58,marine,Pernambugia tuberosa strain GeoB*74,Pernambugia tuberosa,,,GeoB*74,,tuberosa,Pernambugia,,Peridiniales,Dinophyceae,Dinophyta,Chromista,Eukaryota,,dinoflagellates,0.780770424,21.02794976,0.148948719,0.033923198,0.032265305,22.01882333,0.314363823,23.83795659,0.324364692,9,0.361129681,11.50484845,32.53279821,good,good,good,-85.50314855,-0.009195838,1,1,1,1,1
46,"Tabocas reservoir, Pernambuco state, Brazil",-8.1,-36.22,freshwater,Cylindrospermopsis raciborskii strain ITEP-O18,Cylindrospermopsis raciborskii,,,ITEP-O18,,raciborskii,Cylindrospermopsis,Nostocaceae,Nostocales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,,cyanobacteria,0.983704337,30.1423048,0.181716471,0.034080515,0.018533036,25.7052686,0.436372581,29.34894022,0.465190341,6,0.436,10.6341162,40.776421,good,good,good,-348.1247094,-0.012711754,1,1,1,1,1
47,"Gardiner Bay, Espanola (Hood) Island, Galapagos Islands",-1.38,-89.65,marine,Phaeocystis globosa strain CCMP 1528,Phaeocystis globosa,,,CCMP 1528,,globosa,Phaeocystis,Phaeocystaceae,Phaeocystales,Coccolithophyceae,Haptophyta,Chromista,Eukaryota,,haptophytes,0.57399121,26.94376086,0.362548407,0.027479866,0.236287707,23.04887996,0.683029551,25.46180958,0.706440783,7,1.1,9.576999527,36.52076039,good,good,good,-186.033453,-0.009510786,1,1,1,1,1
49,"Atlantic, off South America",5,-52,marine,Skeletonema tropicum clone S. trop.,Skeletonema tropicum,,,,S. trop.,tropicum,Skeletonema,Skeletonemaceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,,diatoms,0.921807465,24.36362634,0.631231562,0.044536878,0.207433115,24.05133607,1.84243655,27.14348294,1.978230702,10,2.079441542,11.8695229,36.23314924,good,good,good,-192.5415837,-0.013313699,1,1,1,1,1
50,"Atlantic, off South America",5,-52,marine,Skeletonema tropicum clone 21-L,Skeletonema tropicum,,,,21-L,tropicum,Skeletonema,Skeletonemaceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,,diatoms,0.766030034,28.5546871,0.01347544,0.181390506,0.284229114,19.78064676,0.487305057,29.57245325,1.52457721,7,1.663553233,5.50330321,34.05799031,bad,good,bad,-418.7620373,-0.017986021,1,1,0,0,1
51,Suriname,6,-54,marine,Asterionellopsis glacialis,Asterionellopsis glacialis,Asterionella japonica,,,,glacialis,Asterionellopsis,Fragilariaceae,Fragilariales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,,diatoms,0.695898848,43.88771289,0.147851831,0.105424426,0.284151261,13.57776663,0.618711373,27.99883986,1.607666206,11,1.642758818,-8.366089814,35.52162308,bad,good,bad,-1484.610689,-0.028558212,1,1,0,0,1
52,Suriname,6,-54,marine,Odontella mobiliensis,Odontella mobiliensis,Biddulphia mobiliensis,,,,mobiliensis,Odontella,Triceratiaceae,Triceratiales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,,diatoms,0.9553816,22.35542442,0.319581137,0.055409614,0.10573793,23.67111214,1.186328338,26.85191783,1.300390787,8,1.351637002,12.49339993,34.84882435,good,good,good,-165.4055948,-0.014804762,1,1,1,1,1
53,Suriname,6,-54,marine,Chaetoceros didymus,Chaetoceros didymus,,,,,didymus,Chaetoceros,Chaetocerotaceae,Chaetocerotales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,,diatoms,0.848328258,24.39965303,2.747470209,-0.027261212,0.214747854,23.17981661,1.460488066,21.20477853,1.500884271,9,1.441746136,10.9799901,35.37964312,good,good,good,125.1103109,0.008612756,1,1,1,1,1
54,Suriname,6,-54,marine,Rhizosolenia setigera,Rhizosolenia setigera,,,,,setigera,Rhizosolenia,Rhizosoleniaceae,Rhizosoleniales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,,diatoms,0.957175396,23.66952479,0.786983118,0.019609913,0.096808007,22.67329341,1.22761447,24.02837696,1.244145426,9,1.351637002,10.83853101,34.5080558,good,good,good,-81.08274594,-0.006114484,1,1,1,1,1
55,Suriname,6,-54,marine,Skeletonema tropicum clone fall,Skeletonema tropicum,,,,fall,tropicum,Skeletonema,Skeletonemaceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,,diatoms,0.711595965,25.99272668,0.806086448,0.030673174,0.335961414,23.26104114,1.645304835,25.75524262,1.710702059,10,1.642758818,10.2646778,36.25740448,good,good,good,-178.6760705,-0.010174448,1,1,1,1,1
56,Suriname,6,-54,marine,Skeletonema tropicum clone spring,Skeletonema tropicum,,,,spring,tropicum,Skeletonema,Skeletonemaceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,,diatoms,0.775882025,26.84506029,0.018255282,0.168999789,0.279640443,20.64278547,0.597695159,29.3942984,1.507962437,7,1.642758818,7.220255323,34.06531562,bad,good,bad,-385.7369002,-0.019938755,1,1,0,0,1
57,Suriname,6,-54,marine,Thalassionema nitzschioides,Thalassionema nitzschioides,,,,,nitzschioides,Thalassionema,Thalassionemataceae,Thalassionematales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,,diatoms,0.697162388,25.95545146,0.182157166,0.088686439,0.345850347,21.09766745,1.18316326,27.01490387,1.583932901,8,1.76752531,8.119941723,34.07539318,good,good,good,-374.5235454,-0.021418713,1,1,1,1,1
58,"West coast of Sabah, Malaysia",6,116.08,marine,Pyrodinium bahamense var. compressum strain PbSA01,Pyrodinium bahamense,,,PbSA01,,bahamense,Pyrodinium,Goniodomataceae,Gonyaulacales,Dinophyceae,Dinophyta,Chromista,Eukaryota,,dinoflagellates,0.916253581,22.36420613,0.04237006,0.065869549,0.009734351,25.62562958,0.229153171,29.28929381,0.260384334,13,0.266861665,14.44352652,36.80773265,bad,good,bad,-187.4296937,-0.016756293,1,1,0,0,1
59,NA,7.03,-48.23,marine,Leonella granifera strain GeoB*38,Leonella granifera,,,GeoB*38,,granifera,Leonella,,,Dinophyceae,Dinophyta,Chromista,Eukaryota,,dinoflagellates,0.654569859,40.69632029,0.011403741,0.103536531,0.031411837,19.44344906,0.085374607,32.30954387,0.194156894,10,0.192001769,-0.904711083,39.79160921,bad,bad,bad,-1403.379355,-0.020821387,1,0,0,0,1
61,NA,8.71,-52.5,marine,Leonella granifera strain GeoB*39,Leonella granifera,,,GeoB*39,,granifera,Leonella,,,Dinophyceae,Dinophyta,Chromista,Eukaryota,,dinoflagellates,0.932670289,17.53359294,0.033302389,0.099780687,0.029543083,23.25701575,0.339077993,26.55024552,0.404525503,10,0.396480187,14.49021928,32.02381222,good,good,good,-101.3410083,-0.018800633,1,1,1,1,1
62,West of Costa Rica,9.81,-89.24,marine,Chaetoceros sp.,Chaetoceros ,,,,,,Chaetoceros,Chaetocerotaceae,Chaetocerotales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,,diatoms,0.845149747,60.06629918,0.303542777,0.103768022,0.53115128,10.04715689,0.861001417,31.95074386,3.912446015,24,4.403564038,-19.9859927,40.08030648,bad,good,bad,-2328.119393,-0.031693901,1,1,0,0,1
63,West of Costa Rica,9.81,-89.24,marine,Gymnodinium sp. isolate 581 (probably G. simplex),Gymnodinium ,,,isolate 581,,,Gymnodinium,Gymnodiniaceae,Gymnodiniales,Dinophyceae,Dinophyta,Chromista,Eukaryota,,dinoflagellates,0.861427322,16.9637426,0.159365105,0.063421646,0.112520162,23.85117895,0.723339632,25.98823527,0.775748426,22,0.855343621,15.36930765,32.33305025,good,good,good,-64.54232253,-0.013221465,1,1,1,1,1
64,NA,12.27,-58.33,marine,Calciodinellum albatrosianum Geob*26/5,Calciodinellum albatrosianum,,,Geob*26/5,,albatrosianum,Calciodinellum,Peridiniaceae,Peridiniales,Dinophyceae,Dinophyta,Chromista,Eukaryota,,dinoflagellates,0.416416456,56.20972955,0.145457024,-0.001186752,0.02904981,33.46256252,0.13979386,32.99526306,0.139832738,11,0.189922327,5.357697739,61.56742729,bad,bad,bad,158.0094354,0.00088971,1,0,0,0,1
65,North Atlantic,12.31,-56.04,marine,Crocosphaera watsonii strain A 2.5,Crocosphaera watsonii,,,A 2.5,,watsonii,Crocosphaera,Cyanobacteriaceae,Chroococcales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,Identification based on note from David Hutchins,cyanobacteria,0.914416533,6.603135966,0.003165534,0.212779479,0.135894957,27.79369956,1.171746496,28.83732041,1.316908223,7,1.2,24.49213158,31.09526754,good,good,good,-4.684947587,-0.01627249,1,1,1,1,1
