id.number,Species.name,Study,Environment,Optimum,Optimum.95CI.lower,Optimum.95CI.upper,Niche.width,Niche.width.95CI.lower,Niche.width.95CI.upper
26,Chattonella marina,Kahn (1998),marine,23.67,23.43,23.89,24.94,24.74,25.13
27,Chattonella marina var. antiqua strain Ho-1,Nakamura (1983),marine,26.03,25.47,26.51,20.41,18.4,25.07
28,Chlamydomonas strain UMACC 229,Teoh et al. (2004),marine,8.11,7.47,8.84,102.04,34.36,120.14
29,Chlorella sp. strain MFD-1,James et al. (1989),marine,22.61,20.86,24.08,36.08,32.68,46.95
30,Chrysochromulina polylepis strain B3,Edvardsen (1992),marine,15.71,12.96,17.36,18.87,15.14,66.6
31,Chrysochromulina polylepis strain B4,Edvardsen (1992),marine,16.78,13.75,17.99,24.84,15.63,69.11
32,Chrysochromulina polylepis strain K,Edvardsen (1992),marine,19.01,18.26,19.75,23.7,21.84,30.56
33,Coccolithus pelagicus ssp. braarudii,Buitenhuis et al. (2008),marine,16.46,16.37,16.5,24.25,24.2,24.68
34,Cochlodinium polykrikoides strain 02B1,Yamatogi (2005),marine,28.28,27.66,29.69,25.31,23.74,28.45
35,Cochlodinium polykrikoides strain 02B2,Yamatogi (2005),marine,28.51,27.46,32.79,25.67,23.06,34.88
36,Cochlodinium polykrikoides strain 03H1,Yamatogi (2005),marine,27.79,26.79,30.66,26.35,23.79,35.97
37,Cochlodinium polykrikoides strain KG8-ND14,Yamatogi (2005),marine,27.72,27.39,28.23,32.69,28.13,36.29
38,Conticribra guillardii clone 7-15,Guillard & Ryther (1962),marine,16.67,16.17,17.08,28.13,27.54,29
39,Corethron pennatum,Fiala & Oriol (1990),marine,3.1,1.74,3.86,46.94,8.99,81.39
40,Cryptomonas sp. strain CRFI01,Renaud et al. (2002),marine,26.78,26.01,27.37,14.83,10.69,18.29
41,Cryptomonas sp. strain F,Throndsen (1976),estuarine,20.42,18.99,21.47,56.51,31.44,60.21
42,Cylindrotheca closterium,Maddux & Jones (1964),marine,22.22,22.12,22.26,27.03,26.97,27.13
43,Cylindrotheca closterium strain NT-6,Renaud et al. (1995),estuarine,27.03,22,30.7,20.74,16.66,51.59
44,Dactyliosolen fragilissimus,Ignatiades & Smayda (1970),estuarine,17.8,16.88,18.99,84.18,82.86,86
45,Detonula confervacea,"Smayda (1969), Guillard & Ryther (1962)",estuarine,7.19,5.55,9.14,17.29,15.29,36.81
46,Detonula confervacea,Suzuki & Takahashi (1995),marine,8.36,7.03,9.34,25.12,19.48,109.37
47,Dunaliella tertiolecta strain CCAP 19/6B,Reay et al. (1999),marine,20.38,16.81,23.04,29.26,22.48,63.39
48,Emiliania huxleyi,Rhodes et al. (1995),marine,22.66,22.6,22.71,19.99,19.93,20.05
49,Emiliania huxleyi clone M,Mjaaland (1956),marine,21.77,21.12,22.38,21.66,19.75,28.98
50,Emiliania huxleyi R strain TQ26,Buitenhuis et al. (2008),marine,21.12,19.92,21.79,28.44,21.32,65.6
51,Emiliania huxleyi strain B92/21,Conte et al. (1998),marine,20.47,19.94,20.89,85.91,85.03,86.25
52,Emiliania huxleyi strain CCMP373,Watabe & Wilbur (1966),marine,21.29,21.2,21.32,29.14,28.58,29.22
53,Emiliania huxleyi strain G1779Ga,Conte et al. (1998),marine,22.38,21.46,23.07,30.99,27.18,47.01
54,"Emiliania huxleyi strain M181, Bigelow 1A1",Conte et al. (1998),marine,24.26,23.87,24.68,29.55,25.35,37.57
55,Emiliania huxleyi strain S. Africa,Conte et al. (1998),marine,23.56,22.27,25.82,22.91,20.35,42.27
56,Emiliania huxleyi strain Van556,Conte et al. (1998),marine,17.76,16.38,18.77,104.6,64.87,105.55
57,Eucampia zodiacus,Nishikawa & Yamaguchi (2006),marine,22.94,22.37,24.18,59.18,57.32,61.34
58,Eutreptiella gymnastica,Throndsen (1976),estuarine,18.62,16.97,19.42,38.16,26.78,87.48
59,Fibrocapsa japonica,Khan (1996),marine,20.49,18.39,22.42,29.25,27.16,44.02
60,Fibrocapsa japonica strain CAWR-19,de Boer et al. (2005),marine,22.67,21.51,23.75,29.1,27.94,30.73
61,Fibrocapsa japonica strain CCRuG-C13,de Boer et al. (2005),marine,22.89,21.51,24.11,23.24,21.93,25.69
62,Fibrocapsa japonica strain CS-332,de Boer et al. (2005),marine,22.75,21.61,23.8,21.96,20.96,23.43
63,Fragilariopsis cylindrus,Fiala & Oriol (1990),marine,4.56,1.79,5.88,113.32,112.82,114.22
64,Fragilariopsis kerguelensis,Fiala & Oriol (1990),marine,3.7,2.82,4.28,64.6,12.8,98.62
65,"Gephyrocapsa oceanica strain AB1, CAWPOT",Conte et al. (1998),marine,22.29,20.38,23.84,24.87,21.91,45.97
66,Gephyrocapsa oceanica var. typica strain A4725,Bollmann et al. (2010),marine,25.3,23.63,27.07,22.13,18.96,42.91
67,Gephyrocapsa oceanica var. typica strain A4727,Bollmann et al. (2010),marine,27.25,26.46,28.2,27.05,22.49,33.28
68,Gymnodinium aureolum,Nielsen & T¿nseth (1991),estuarine,20.3,19.59,21.24,23.45,18.65,37.5
69,Gymnodinium catenatum,Bravo & Anderson (1994),estuarine,24.13,23.05,24.92,21.82,17.57,44.98
70,Gymnodinium catenatum strain GCCV-10,Band-Schmidt (2004),estuarine,24.17,22.54,25.46,25.61,22.8,39.22
71,Gymnodinium corollarium clone GCTV-B4,Sundström et al. (2009),marine,2.85,0.63,4.63,13.25,11.17,72.95
72,Gymnodinium isolate 581 (probably G. simplex),Thomas (1966),marine,25.98,24.89,26.87,16.96,15.87,18.79
73,Gymnodinium isolate 582 (probably G. simplex),Thomas (1966),marine,25,24.56,25.38,18.06,17.7,18.46
74,Helicotheca tamesis,Chin (1965),marine,24.37,22.85,25.63,23.5,21.83,29.16
75,Heterocapsa rotundata,Throndsen (1976),estuarine,17.32,15.19,19.59,27.48,25.35,37.97
76,Heteromastix pyriformis,Throndsen (1976),estuarine,19.47,19.41,19.48,31.11,30.59,31.12
77,Heterosigma akashiwo,Ono (2000),marine,26.66,25.18,31.28,62.35,58.54,73.64
78,"Isochrysis galbana clone T-ISO, NEPCC 601",Renaud et al. (2002),marine,28.49,27,29.35,35.67,24.62,59.43
79,"Isochrysis galbana strain CCMP1323, Iso.",Hobson (1974),marine,21.1,20.86,21.18,28.96,24.92,31.51
80,Isochrysis sp. strain PS11,Renaud et al. (1995),marine,22.32,18.6,26.1,28.62,25.64,58.58
81,Karenia brevis strain APA,McKay et al. (2006),marine,23.74,22.68,24.64,20.28,18.88,23.34
82,Karenia brevis strain MAN,McKay et al. (2006),marine,20.64,18.39,22.88,16.59,14.86,22.1
83,Karenia mikimotoi,Yamaguchi (1989),marine,26.13,25.74,26.32,37.08,27.01,46.89
84,Karlodinium veneficum strain KT76E,Nielsen (1996),estuarine,20.57,19.61,21.25,45.71,26.37,58.57
85,Klebsormidium strain UMACC 227,Teoh et al. (2004),marine,13.62,10.03,19.75,30.07,25.8,91.43
86,Koliella antarctica strain SAG 2030,Vona (2004),marine,12.61,12.59,12.61,17.32,17.3,17.32
87,Leonella granifera strain GeoB*38,Meier et al. (2004),marine,38.92,26.89,82.15,50.86,21.59,141.49
88,Leonella granifera strain GeoB*39,Meier et al. (2004),marine,26.54,25.68,27.19,17.43,15.82,22.92
89,Leptocylindrus danicus,Hulburt (1982),marine,27.62,26.21,28.93,20.71,18.79,26.2
90,Men. 5 (Diatom),Hulburt (1982),marine,27.28,24.27,29.56,26.94,24.32,39.3
91,Micromonas pusilla,Throndsen (1976),estuarine,19.48,11.84,23.13,113.84,34.83,119.52
92,Micromonas sp. strain CCMP2099,Lovejoy et al. (2007),marine,6.61,5.96,7.31,17.02,16.19,18.51
93,N-fixing unicellular cyanobacterium strain A 2.5,Falcón (2005),marine,28.8,28.2,29.21,6.56,5.83,8.51
94,N-fixing unicellular cyanobacterium strain P-3,Falcón (2005),marine,28.62,27.89,29.12,6.6,5.84,8.83
95,N-fixing unicellular cyanobacterium strain P-7,Falcón (2005),marine,28.73,27.07,29.91,6.12,4.63,17.65
96,Nannochloris (possibly Stichococcus) sp.,Thomas (1966),marine,32.87,32.16,33.3,52.02,28.67,52.34
97,Neoceratium furca,Baek et al. (2008),marine,24.65,23.92,25.33,21.6,20.54,23.26
98,Neoceratium furca,Nordli (1957),estuarine,20.75,19.46,21.83,21.24,19,31.45
99,Neoceratium fusus,Baek et al. (2008),marine,25.51,24.28,26.51,22.38,20.02,34.08
100,Neoceratium fusus,Nordli (1957),estuarine,16.12,13.35,18.87,24.39,20.97,81.85
101,Neoceratium lineatum,Nordli (1957),estuarine,21.48,19.97,24.33,27.42,23.82,58.89
102,Neoceratium tripos,Montressor & Tomas (1988),estuarine,16.47,12.52,18.43,106.56,102.57,112.68
103,Nitzschia frigida,Suzuki & Takahashi (1995),marine,1.18,-3.7,2.65,66.5,13.08,117.57
104,Nitzschia paleacea strain NT7,Renaud et al. (1995),estuarine,20.36,17.04,22.61,28.13,21.71,87.68
105,Odontella mobiliensis,Hulburt (1982),marine,26.87,25.02,28.24,22.36,20.83,25.27
106,Olisthodiscus luteus,Throndsen (1976),estuarine,14.41,14.34,14.45,21.09,21.02,21.18
107,Olisthodiscus luteus clone OLMS,Tomas (1978),estuarine,27.52,24.59,33.98,47.46,39.2,79.71
108,Peridinium sp. 1,Barker (1935),marine,17.95,16.11,20.02,22.4,20.54,26.06
109,Pernambugia tuberosa strain GeoB*74,Meier et al. (2004),marine,23.86,21.81,25.79,21.07,18.01,41.81
110,Phaeocystis antarctica strain CCMP 1871,Wang et al. (2010),marine,3.46,1.22,5.35,9.88,8.37,52.12
111,Phaeocystis globosa strain CCMP 1528,Wang et al. (2010),marine,25.47,17.3,47.67,26.91,18.36,94.53
112,Phaeocystis pouchetii,Grimm & Weisse (1985),marine,17.46,17.13,17.81,49.57,45.97,50.29
113,Phaeodactylum tricornutum,Ryther (1954),estuarine,13.47,12.35,14.72,29.3,27.58,32.68
114,Phaeodactylum tricornutum clone Pet Pd,Fawley (1984),estuarine,22.38,21.03,24.46,29.74,22.48,40.64
115,Phaeodactylum tricornutum strain CCAP 1052/1A,Johnston (1996),marine,21.94,19.43,23.7,62.65,45.69,69.13
116,Phaeodactylum tricornutum strain CCMP633,Kräbs et al. (2011),marine,22.01,18.97,23.75,81.73,33.23,83.41
117,Phaeodactylum tricornutum strain NEPCC 640,Kräbs et al. (2011),marine,16.76,16.71,16.8,25.3,24.98,25.34
118,Picochlorum atomus,Ryther (1954),estuarine,22.35,20.02,24.25,25.9,23.61,32.83
119,Prochlorococcus marinus strain MED4 (clade 2),Moore et al. (1995),marine,23.54,23.12,23.83,22.53,18.06,36.27
120,Prochlorococcus marinus strain MIT9215 (clade 1),Johnson (2006),marine,27.15,26.35,27.81,19.29,17.73,22.92
121,Prochlorococcus marinus strain MIT9312 (clade 1),Johnson (2006),marine,25.44,24.87,25.9,17.42,15.27,24.77
122,Prochlorococcus marinus strain MIT9313,Zinser et al. (2007),marine,26.39,25.39,26.92,20.75,13.6,35.61
123,Prochlorococcus marinus strain MIT9515 (clade 2),Johnson (2006),marine,24.11,23.61,24.45,54.36,23.97,54.77
124,Prochlorococcus marinus strain NATL2A,Zinser et al. (2007),marine,23.83,22.69,24.43,21.29,15.53,41.49
125,Prochlorococcus marinus strain SS120,Moore et al. (1995),marine,23.25,22.72,23.72,15.94,14.93,17.95
126,Prorocentrum gracile,Barker (1935),marine,16.97,14.65,19.96,16.94,15.69,20.45
127,Prorocentrum micans,Barker (1935),marine,23.56,22.67,24.33,25.47,22.55,37.63
128,Prorocentrum minimum,Grzebyk & Berland (1996),marine,23.29,22.41,24.03,24.14,22.34,28.08
129,Prymnesium parvum f. patelliferum strain RHpat93,Larsen & Bryant (1998),estuarine,24.31,22.63,25.46,89.07,82.28,89.78
130,Prymnesium parvum strain RL10parv93,Larsen & Bryant (1998),estuarine,14.32,14.28,14.34,26,25.99,26.02
131,Pseudo-nitzschia americana,Miller & Kamykowski (1986a),estuarine,27.54,25.96,31.73,33.12,27.97,64.12
132,Pseudo-nitzschia granii,El-Sabaawi & Harrison (2006),marine,13.78,12.5,15.02,19.86,18.14,36.51
133,Pseudo-nitzschia multiseries,Lewis (1993),marine,22.61,21.31,28.21,66.84,61.05,77.24
134,Pseudo-nitzschia turgiduloides,Fiala & Oriol (1990),marine,4.25,3.91,4.58,10.43,9.69,12.06
135,Pseudopedinella pyriformis,Throndsen (1976),estuarine,12.39,12.37,12.39,23.87,23.86,23.88
136,Pyramimonas disomata,Throndsen (1976),estuarine,17.26,17.25,17.27,20,19.99,20.01
137,Pyrodinium bahamense var. compressum strain PbSA01,Usup et al. (1994),marine,29.21,28.52,29.52,21.9,19.54,24.2
138,Rhizosolenia setigera,Hulburt (1982),marine,24.02,22.46,25.53,23.67,22.52,25.54
139,Rhizosolenia setigera,Hulburt (1982),marine,10.27,8.67,11.84,19.05,17.8,21.36
140,Scrippsiella trochoidea strain ScrpMxB,Binder & Anderson (1987),estuarine,15.01,13.7,16.18,31.77,26.77,70.86
141,Skeletonema ardens strain FDK003,Kaeriyama et al. (2011),marine,32.26,29.99,33.67,36.55,28,74.59
142,Skeletonema ardens strain FDK004,Kaeriyama et al. (2011),marine,26.64,24.79,28.19,25.2,23.13,31.07
143,Skeletonema ardens strain FDK005,Kaeriyama et al. (2011),marine,32.37,28.93,34.28,33.93,25.74,75.86
144,Skeletonema ardens strain FDK006,Kaeriyama et al. (2011),marine,32.33,29.65,33.8,39.4,28.1,78.69
145,Skeletonema ardens strain FDK007,Kaeriyama et al. (2011),marine,32.22,30.04,33.6,36.56,28.18,72.67
146,Skeletonema costatum,Chin (1965),marine,26.37,25.07,27.52,26.99,24.81,31.32
147,Skeletonema costatum,Curl & McLeod (1961),marine,22.67,17.87,26.1,31.65,27.26,93.67
148,Skeletonema costatum,Suzuki & Takahashi (1995),marine,23.07,21.84,24.2,32.64,31.33,34.57
149,Skeletonema costatum clone FHS 3,Hulburt (1982),marine,17.9,13.22,21.13,27.81,23.55,89.05
150,Skeletonema costatum clone FHS 7,Hulburt (1982),marine,24.04,22.85,25.08,102.15,101.47,103.03
151,Skeletonema costatum clone SK6C,Falkowski (1977),estuarine,20.69,19.32,21.84,36.57,34.12,42.85
152,Skeletonema costatum s.s. strain FDK009,Kaeriyama et al. (2011),marine,25.64,24.31,26.76,30.43,27.19,41.2
153,Skeletonema japonicum strain FDK154,Kaeriyama et al. (2011),marine,21.14,18.53,22.85,111.03,109.5,111.95
154,Skeletonema japonicum strain FDK157,Kaeriyama et al. (2011),marine,22.21,17.46,24.48,92.71,73.55,94.72
155,Skeletonema japonicum strain FDK158,Kaeriyama et al. (2011),marine,22.23,21.42,22.86,83.55,79.68,83.91
156,Skeletonema japonicum strain FDK159,Kaeriyama et al. (2011),marine,23.03,20.82,24.32,68.9,25.8,76.03
157,Skeletonema japonicum strain FDK161,Kaeriyama et al. (2011),marine,22.2,20.64,23.33,106.46,105.12,107.09
158,Skeletonema marinoi_dohrnii complex strain FDK031,Kaeriyama et al. (2011),marine,24.96,22.82,26.44,85.65,82.22,86.68
159,Skeletonema marinoi_dohrnii complex strain FDK032,Kaeriyama et al. (2011),marine,25.51,24.22,26.51,89.58,88.26,90.25
160,Skeletonema marinoi_dohrnii complex strain FDK033,Kaeriyama et al. (2011),marine,25.23,22.26,27.23,107.11,105.95,108.51
161,Skeletonema marinoi_dohrnii complex strain FDK035,Kaeriyama et al. (2011),marine,25.98,24.92,26.88,108.74,108.19,109.21
162,Skeletonema marinoi_dohrnii complex strain FDK039,Kaeriyama et al. (2011),marine,24.37,22.79,25.54,92.52,90.92,93.23
163,Skeletonema menzelii strain DM08080630,Kaeriyama et al. (2011),marine,29.94,28.76,30.85,39.55,33.83,59.93
164,Skeletonema menzelii strain DM08080730,Kaeriyama et al. (2011),marine,32.29,30.48,33.57,76.2,74.38,77.17
165,Skeletonema menzelii strain FDK221,Kaeriyama et al. (2011),marine,25.73,22.01,29.05,32.67,29.18,54.26
166,Skeletonema menzelii strain FDK222,Kaeriyama et al. (2011),marine,23.55,20.5,26.76,32.25,29.44,42.15
167,Skeletonema pseudocostatum strain FDK225,Kaeriyama et al. (2011),marine,27.14,24.51,28.76,77.36,35.93,78.75
168,Skeletonema tropicum clone 21-L,Hulburt & Guillard (1968),marine,29.48,25.95,30.92,26.4,15.78,57.49
169,Skeletonema tropicum clone fall,Hulburt (1982),marine,25.66,21.15,28.89,25.99,22.86,56.58
170,Skeletonema tropicum clone S. trop.,Hulburt & Guillard (1968),marine,27.14,25.13,28.74,24.4,22.66,28.36
171,Skeletonema tropicum clone spring,Hulburt (1982),marine,29.35,25.64,30.79,25.91,16.03,57.83
172,Skeletonema tropicum strain FDK199,Kaeriyama et al. (2011),marine,24.37,22.74,25.87,25.4,24.13,27.56
173,Skeletonema tropicum strain FDK202,Kaeriyama et al. (2011),marine,26.07,24.12,27.74,25.8,23.6,32.44
174,Skeletonema tropicum strain FDK204,Kaeriyama et al. (2011),marine,25.88,24.27,27.27,25.5,23.88,28.84
175,Skeletonema tropicum strain FDK205,Kaeriyama et al. (2011),marine,26.79,24.62,28.5,26.29,23.46,45.14
176,Skeletonema tropicum strain FDK207,Kaeriyama et al. (2011),marine,26.1,25.19,26.89,25.15,24.1,26.65
177,Stellarima microtrias,Fiala & Oriol (1990),marine,3.52,2.88,4.01,80.39,20.22,112.94
178,Stephanopyxis palmeriana,Schöne (1982),marine,18.56,17.02,21.05,67.77,62.52,77.57
179,Stichococcus (possibly S. cylindricus),Ryther (1954),estuarine,21.45,17.93,24.24,27.61,24.44,53.22
180,Synechococcus strain WH8103,Moore et al. (1995),marine,26.77,26.28,27.18,22.38,21.62,23.39
181,Synedra sp.,Fiala & Oriol (1990),marine,4.52,3.9,5,101.77,101.56,102.07
182,Tetraselmis sp. clone BT-2,Maddux & Jones (1964),marine,20.65,20.4,20.84,77.67,77.67,84.26
183,Thalassionema nitzschioides,Hulburt (1982),marine,27.03,21.92,29.38,25.95,19.55,70.92
184,Thalassionema nitzschioides,Hulburt (1982),marine,19.09,17.74,20.06,96.11,91.71,97
185,Thalassiosira nordenskioeldii,Suzuki & Takahashi (1995),marine,12.62,11.25,13.2,79.88,27.42,148.02
186,Thalassiosira nordenskioeldii clone TN-2,Durbin (1974),estuarine,9.72,6.53,11.41,20.52,16.26,84.01
187,"Thalassiosira pseudonana clone 3H, NEPCC 58",Thompson (1992),estuarine,26.33,22.4,52.82,34.23,25.44,90.66
188,Thalassiosira pseudonana clone 5A,Guillard & Ryther (1962),estuarine,21.64,21.46,21.86,28.71,28.16,29.51
189,Thalassiosira rotula clone A8,Krawiec (1982),estuarine,19.52,16.67,21.87,30.13,27.08,44.21
190,Thalassiosira rotula clone C8,Krawiec (1982),marine,22.06,20.54,23.31,32.51,30.65,36.03
191,Trichodesmium erythraeum strain GBRTRLI101,Chappell & Webb (2010),marine,28.57,28.14,29.01,16.3,14.64,19.35
192,"Trichodesmium erythraeum strain IMS101, CCMP 1985",Breitbarth et al. (2007),marine,27.35,24.2,30.7,16.09,13.48,36.73
193,Trichodesmium radians strain H94,Chappell & Webb (2010),marine,26.53,26.36,26.59,10.81,10.45,11.69
194,Unidentified prymnesiophyte strain NT19,Renaud et al. (2002),estuarine,28.92,27.33,29.82,30,13.72,34.28
