isolate.code,growth_rate,growth_rate_mean,Mean.x,SD,Mean.y,topt,w,a,b,z,source,latitude,longitude,habitat,name,speciesname,former.name.1,former.name.2,strain,clone,species,genus,family,order,class,phylum,kingdom,domain,comment,group,mu.rsqrlist,mu.slist,mu.c.opt.val.list,mu.g.opt.val.list,mu.n,emp.max.growth,tmin,tmax,minqual,maxqual,curvequal,abs.curveskew,rel.curveskew,used.for.optimum.analysis,used.for.tmax.analysis,used.for.tmin.analysis,used.for.niche.width.analysis,used.for.max.growth.rate.analysis,temperature,predicted_growth_variable,predicted_growth_constant,der
54,1.1383841594409512,1.0970171614005395,27.872549999999997,0.7537265,27.872549999999997,24.02837696,23.66952479,0.786983118,0.019609913,22.67329341,Suriname,6,-54,marine,Rhizosolenia setigera,Rhizosolenia setigera,NA,NA,NA,NA,setigera,Rhizosolenia,Rhizosoleniaceae,Rhizosoleniales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,NA,diatoms,0.957175396,0.096808007,1.22761447,1.244145426,9,1.351637002,10.83853101,34.5080558,good,good,good,-81.08274594,-0.006114484,1,1,1,1,1,27.872549999999997,1.090498853892598,1.0970171614005395,-0.0229476
61,0.38224319081150204,0.39038801245054455,27.7949,0.830431,27.7949,26.55024552,17.53359294,0.033302389,0.099780687,23.25701575,NA,8.71,-52.5,marine,Leonella granifera strain GeoB*39,Leonella granifera,NA,NA,GeoB*39,NA,granifera,Leonella,NA,NA,Dinophyceae,Dinophyta,Chromista,Eukaryota,NA,dinoflagellates,0.932670289,0.029543083,0.339077993,0.404525503,10,0.396480187,14.49021928,32.02381222,good,good,good,-101.3410083,-0.018800633,1,1,1,1,1,27.7949,0.38261014790904685,0.39038801245054455,-0.0225571
63,0.7283586502527261,0.7215484540817978,27.9081,0.803053,27.9081,25.98823527,16.9637426,0.159365105,0.063421646,23.85117895,West of Costa Rica,9.81,-89.24,marine,Gymnodinium sp. isolate 581 (probably G. simplex),Gymnodinium,NA,NA,isolate 581,NA,NA,Gymnodinium,Gymnodiniaceae,Gymnodiniales,Dinophyceae,Dinophyta,Chromista,Eukaryota,NA,dinoflagellates,0.861427322,0.112520162,0.723339632,0.775748426,22,0.855343621,15.36930765,32.33305025,good,good,good,-64.54232253,-0.013221465,1,1,1,1,1,27.9081,0.709781844932341,0.7215484540817978,-0.0364916
65,1.0111830043083836,1.1549965108398144,27.7279,0.912363,27.7279,28.83732041,6.603135966,0.003165534,0.212779479,27.79369956,North Atlantic,12.31,-56.04,marine,Crocosphaera watsonii strain A 2.5,Crocosphaera watsonii,NA,NA,A 2.5,NA,watsonii,Crocosphaera,Cyanobacteriaceae,Chroococcales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,Identification based on note from David Hutchins,cyanobacteria,0.914416533,0.135894957,1.171746496,1.316908223,7,1.2,24.49213158,31.09526754,good,good,good,-4.684947587,-0.01627249,1,1,1,1,1,27.7279,1.0909902975376846,1.1549965108398144,-0.153786
68,0.887564967117152,0.9188927274260114,28.7399,0.909475,28.7399,24.99489219,18.06025946,0.621352851,0.024860111,23.99434668,"Gulf of Tehuantepec, South of Mexico",14.67,-96.98,marine,Gymnodinium sp. isolate 582 (probably G. simplex),Gymnodinium,NA,NA,isolate 582,NA,NA,Gymnodinium,Gymnodiniaceae,Gymnodiniales,Dinophyceae,Dinophyta,Chromista,Eukaryota,NA,dinoflagellates,0.980546265,0.062498384,1.128225395,1.142440571,24,1.173498177,14.96421695,33.02447641,good,good,good,-34.85621657,-0.005917092,1,1,1,1,1,28.7399,0.9032118821986678,0.9188927274260114,-0.0379156
77,0.2133097113005495,0.32292940811995885,25.032400000000003,1.1464750000000001,25.032400000000003,26.28269007,12.44394061,101.1905391,-0.204147098,29.3031462,"Station ALOHA, North Pacific",22.75,-158,marine,Trichodesmium radians strain H94,Trichodesmium radians,Trichodesmium tenue,NA,H94,NA,radians,Trichodesmium,Phormidiaceae,Oscillatoriales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,NA,cyanobacteria,0.999534045,0.002078754,0.255343137,0.361579057,4,0.358,23.0811759,35.5251165,good,good,good,42.47176507,0.022040758,1,1,1,1,1,25.032400000000003,0.27488981397550727,0.32292940811995885,-0.0730971
78,0.06805881790023724,0.22722752293456958,25.0879,1.15465,25.0879,28.69128562,6.673702961,0.008248179,0.174674944,27.78994428,North Pacific,22.76,-158.01,marine,Crocosphaera watsonii strain P-3,Crocosphaera watsonii,NA,NA,P-3,NA,watsonii,Crocosphaera,Cyanobacteriaceae,Chroococcales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,Identification based on note from David Hutchins,cyanobacteria,0.877499089,0.140691571,1.05806745,1.148117497,7,1.06,24.4530928,31.12679576,good,good,good,-4.193650077,-0.014108849,1,1,1,1,1,25.0879,0.22741846421941908,0.22722752293456958,2.86437e-4
81,0.37592787595356086,0.49067263320918625,25.2696,2.79622,25.2696,26.93807172,25.81551663,0.065430687,0.083661643,21.30083818,"off Xiamen, China",24.49,118.11,marine,Skeletonema costatum,Skeletonema costatum,NA,NA,NA,NA,costatum,Skeletonema,Skeletonemaceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,NA,diatoms,0.968575873,0.040487664,0.388795883,0.504236723,8,0.458,8.393079864,34.20859649,good,good,good,-359.369687,-0.020888102,1,1,1,1,1,25.2696,0.46177988508505036,0.49067263320918625,-0.00739054
82,0.49969752744652424,0.6113051467236233,25.2696,2.79622,25.2696,24.34244147,23.47428535,0.182809055,0.053489277,20.9643903,"off Xiamen, China",24.49,118.11,marine,Helicotheca tamesis,Helicotheca tamesis,Streptotheca thamesis,NA,NA,NA,tamesis,Helicotheca,Lithodesmiaceae,Lithodesmiales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,NA,diatoms,0.975535298,0.031516255,0.561051265,0.616485744,5,0.639889702,9.227247622,32.70153297,good,good,good,-193.4753601,-0.014957139,1,1,1,1,1,25.2696,0.5595893426605737,0.6113051467236233,-0.0132285
85,0.1762286268658277,0.2047575015774985,23.5465,3.799,23.5465,24.18859962,25.63448618,0.056204628,0.058447969,19.92048095,"Central Basin, Bahía Conceptión, Gulf of California, Mexico",26.65,-111.8,estuarine,Gymnodinium catenatum strain GCCV-10,Gymnodinium catenatum,NA,NA,GCCV-10,NA,catenatum,Gymnodinium,Gymnodiniaceae,Gymnodiniales,Dinophyceae,Dinophyta,Chromista,Eukaryota,NA,dinoflagellates,0.856304607,0.02456931,0.180063711,0.205458029,15,0.212,7.103237861,32.73772404,good,good,good,-286.8254709,-0.017027225,1,1,1,1,1,23.5465,0.1819639055441635,0.2047575015774985,-0.00315867
86,0.12619581326789703,0.1235615580443506,26.3446,2.49568,26.3446,20.63421151,16.58110467,0.323585425,-0.018779404,21.27623863,"Manasota, US",27.01,-82.42,marine,Karenia brevis strain MAN,Karenia brevis,NA,NA,MAN,NA,brevis,Karenia,Kareniaceae,Gymnodiniales,Dinophyceae,Dinophyta,Chromista,Eukaryota,NA,dinoflagellates,0.859926995,0.035328908,0.217002324,0.218317367,8,0.226,12.9856863,29.56679097,good,good,good,18.89296728,0.004144382,1,1,1,1,1,26.3446,0.10922186975790707,0.1235615580443506,-0.0046046
87,1.3086593595448475,1.3876210150437533,20.0414,2.34414,20.0414,22.05376417,32.56416405,0.660099336,0.038421345,17.38093936,Baja California upwelling area,27.5,-115,marine,Thalassiosira rotula clone C8,Thalassiosira rotula,NA,NA,NA,C8,rotula,Thalassiosira,Thalassiosiraceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,NA,diatoms,0.915493763,0.140771498,1.287154688,1.413424517,21,1.646224554,1.098857339,33.66302139,good,good,good,-515.2193693,-0.014920122,1,1,1,1,1,20.0414,1.3576568218159146,1.3876210150437533,-0.010906
89,0.7028656767424154,0.756447830929783,25.2437,2.43329,25.2437,26.77017664,22.42460755,0.161501269,0.062462097,23.23402202,Sargasso Sea,28.5,-67.39,marine,Synechococcus strain WH8103,Synechococcus,NA,NA,WH8103,NA,NA,Synechococcus,Synechococcaceae,Synechococcales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,NA,cyanobacteria,0.989558406,0.0277587,0.689356623,0.774228835,11,0.8,12.02171824,34.44632579,good,good,good,-183.1643766,-0.016243008,1,1,1,1,1,25.2437,0.7191340216724935,0.756447830929783,-0.0126041
90,0.5721287184598071,0.8271973921099853,26.5331,4.80916,26.5331,28.20807009,24.35435198,0.041411135,0.118985019,21.81651342,"Bushehr, Persian Gulf",28.9,50.75,marine,Amphiprora sp.,Amphiprora,NA,NA,NA,NA,NA,Amphiprora,Amphipleuraceae,Naviculales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,NA,diatoms,0.975634038,0.049706418,0.555233132,0.860587553,7,0.901091335,9.639337432,33.99368941,good,good,good,-325.0388743,-0.022501194,1,1,1,1,1,26.5331,0.6404559773871945,0.8271973921099853,-0.0161485
91,1.1032959881820281,1.3318109010474217,26.5331,4.80916,26.5331,24.99943272,25.35282471,0.953861367,0.014296827,23.85779972,"Bushehr, Persian Gulf",28.9,50.75,marine,Chaetoceros lorenzianus clone Bushehr,Chaetoceros lorenzianus,NA,NA,NA,Bushehr,lorenzianus,Chaetoceros,Chaetocerotaceae,Chaetocerotales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,NA,diatoms,0.900894826,0.165768436,1.341587874,1.352604259,8,1.386294361,11.18138737,36.53421208,good,good,good,-78.54066845,-0.00481965,1,1,1,1,1,26.5331,1.1189914874800717,1.3318109010474217,-0.0184036
93,0.9126519498697592,1.3623529710524507,26.5331,4.80916,26.5331,27.61186782,20.72286261,0.138305074,0.089480321,23.54741007,"Bushehr, Persian Gulf",28.9,50.75,marine,Leptocylindrus danicus,Leptocylindrus danicus,NA,NA,NA,NA,danicus,Leptocylindrus,Leptocylindraceae,Leptocylindrales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,NA,diatoms,0.943609006,0.136475467,1.137390322,1.384498852,7,1.524923797,13.18597877,33.90884138,good,good,good,-172.9229954,-0.019431374,1,1,1,1,1,26.5331,0.9974113193580072,1.3623529710524507,-0.0315584
94,0.40328569091596816,0.5350328188850431,25.2524,2.40644,25.2524,23.26107388,15.96496094,0.045059774,0.119786981,20.05839129,Sargasso Sea (120m depth),28.98,-64.35,marine,Prochlorococcus marinus strain SS120,Prochlorococcus marinus,NA,NA,SS120,NA,marinus,Prochlorococcus,Synechococcaceae,Synechococcales,Cyanophyceae,Cyanobacteria,Bacteria,Prokaryota,NA,cyanobacteria,0.983593046,0.029373332,0.498061746,0.613298504,8,0.599,12.07591082,28.04087176,good,good,good,-80.38671115,-0.019755166,1,1,1,1,1,25.2524,0.3680014523692615,0.5350328188850431,-0.057687
97,0.21685773479121903,0.28297333033295125,24.9633,3.50368,24.9633,23.74853107,20.24796801,0.091422959,0.050912186,21.29092612,"Apalachicola, US",29.71,-84.98,marine,Karenia brevis strain APA,Karenia brevis,NA,NA,APA,NA,brevis,Karenia,Kareniaceae,Gymnodiniales,Dinophyceae,Dinophyta,Chromista,Eukaryota,NA,dinoflagellates,0.957952841,0.016546345,0.270281558,0.28825649800000003,8,0.312,11.16694211,31.41491012,good,good,good,-105.9917907,-0.012768148,1,1,1,1,1,24.9633,0.23385501420415866,0.28297333033295125,-0.00800248
105,0.3779670797282895,0.4158721647995198,23.4298,3.26551,23.4298,23.66323851,24.9435364,0.294197441,0.015007179,22.50711149,"Kagoshima Bay, Japan",31.39,130.66,marine,Chattonella marina,Chattonella marina,NA,NA,NA,NA,marina,Chattonella,Chattonellaceae,Chattonellales,Raphidophyceae,Ochrophyta,Chromista,Eukaryota,NA,raphidophytes,0.999522697,0.0036107,0.41241056,0.416022451,6,0.415195161,10.03534329,34.97887969,good,good,good,-76.89059965,-0.004954492,1,1,1,1,1,23.4298,0.38691016116939936,0.4158721647995198,-0.0054319599999999996
110,1.394693334328521,1.4974712072957532,23.5896,2.8691,23.5896,27.30088507,26.94015327,0.575222434,0.040576386,23.8604586,Bermuda,32.3,-64.7,marine,Men. 5 (Diatom),NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,NA,diatoms,0.851317921,0.232616528,1.514632292,1.627934522,10,1.871497388,10.39038196,37.33053523,good,good,good,-261.7932785,-0.013389313,1,1,1,1,1,23.5896,1.4411476197920308,1.4974712072957532,-0.0136845
116,0.1982658797114582,0.21242009583159865,18.0829,2.27227,18.0829,23.38200038,20.53195237,0.054703127,0.076643412,19.82706889,"Scripps Institute of Oceanography pier, California, US",32.87,-117.26,marine,Akashiwo sanguinea,Akashiwo sanguinea,Gymnodinium splendens,Gymodinium sanguineum,NA,NA,sanguinea,Akashiwo,NA,NA,Dinophyceae,Dinophyta,Chromista,Eukaryota,NA,dinoflagellates,0.942888607,0.027406981,0.250018541,0.288952985,18,0.303598465,9.5610927,30.09304507,good,good,good,-152.3692074,-0.017603802,1,1,1,1,1,18.0829,0.20779032201829753,0.21242009583159865,-0.00179337
117,0.3437291762761849,0.3995496242561298,22.0849,3.74338,22.0849,28.18608002,25.15546197,0.050819957,0.09339369,22.37753601,"Goto Islands, Japan",32.93,128.26,marine,Cochlodinium polykrikoides strain 02B1,Cochlodinium polykrikoides,NA,NA,02B1,NA,polykrikoides,Cochlodinium,Gymnodiniaceae,Gymnodiniales,Dinophyceae,Dinophyta,Chromista,Eukaryota,NA,dinoflagellates,0.984475444,0.02459428,0.41084244,0.556029224,18,0.572,9.799805023,34.95526699,good,good,good,-342.9448506,-0.021544052,1,1,1,1,1,22.0849,0.3904922502037906,0.3995496242561298,-0.00129272
128,0.2530231302988161,0.33097865788839453,22.1163,3.63018,22.1163,22.74809998,21.95725661,0.164342567,0.03224989,20.86159267,"Tsuda Bay, Seto Inland Sea, Japan",34.3,134.25,marine,Fibrocapsa japonica strain CS-332,Fibrocapsa japonica,NA,NA,CS-332,NA,japonica,Fibrocapsa,Chattonellaceae,Chattonellales,Raphidophyceae,Ochrophyta,Chromista,Eukaryota,NA,raphidophytes,0.972724171,0.021468885,0.322059767,0.332156084,8,0.355,9.882964367,31.84022098,good,good,good,-96.69474952,-0.009134161,1,1,1,1,1,22.1163,0.29361290667167095,0.33097865788839453,-0.00567084
131,0.26415183070645193,0.37324457410661077,22.1163,3.63018,22.1163,26.03512105,20.50270478,0.017949883,0.138052583,20.72608564,"Harima-Nada, Eastern Seto Inland Sea, Japan",34.5,134.58,marine,Chattonella marina var. antiqua strain Ho-1,Chattonella marina,Chattonella antiqua,NA,Ho-1,NA,marina,Chattonella,Chattonellaceae,Chattonellales,Raphidophyceae,Ochrophyta,Chromista,Eukaryota,NA,raphidophytes,0.987837928,0.021214240999999998,0.313836837,0.477967474,7,0.508,10.47473325,30.97743803,good,good,good,-193.5435585,-0.022456664,1,1,1,1,1,22.1163,0.3541312982631028,0.37324457410661077,-0.00290074
138,0.41322039349253986,0.519596491863317,21.907,3.49689,21.907,24.64981831,21.59744643,0.121444807,0.066565797,21.17035474,"Sagami Bay, Japan",35.15,139.35,marine,Biceratium furca,Biceratium furca,Ceratium furca,NA,NA,NA,furca,Biceratium,Ceratiaceae,Gonyaulacales,Dinophyceae,Dinophyta,Chromista,Eukaryota,NA,dinoflagellates,0.970349451,0.035673353,0.49704543,0.561538893,12,0.574,10.37163152,31.96907795,good,good,good,-166.7624877,-0.01655355,1,1,1,1,1,21.907,0.4735637116060851,0.519596491863317,-0.00752893
139,0.317497752728681,0.4005635843429813,21.907,3.49689,21.907,25.4947875,22.44312697,0.053398066,0.09249535,20.72286268,"Sagami Bay, Japan",35.15,139.35,marine,Neoceratium fusus,Neoceratium fusus,Ceratium fusus,NA,NA,NA,fusus,Neoceratium,Ceratiaceae,Gonyaulacales,Dinophyceae,Dinophyta,Chromista,Eukaryota,NA,dinoflagellates,0.915427003,0.04980424,0.363050875,0.462411471,12,0.525,9.501299194,31.94442617,good,good,good,-232.3832078,-0.020556759,1,1,1,1,1,21.907,0.373563203158596,0.4005635843429813,-0.00441607
140,0.9464314058073582,1.4457475628473178,21.907,3.49689,21.907,24.41590163,19.91283116,2.063847613,-0.01164492,24.99063748,Sagami Bay,35.15,139.35,marine,Chaetoceros pseudocurvisetus,Chaetoceros pseudocurvisetus,NA,NA,NA,NA,pseudocurvisetus,Chaetoceros,Chaetocerotaceae,Chaetocerotales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,NA,diatoms,0.994251854,0.049338387,1.542736883,1.547921446,5,1.622,15.0342219,34.94705306,good,good,good,24.39034062,0.003089007,1,1,1,1,1,21.907,1.2355166093446566,1.4457475628473178,-0.0343845
146,1.2468165422353958,1.3684163184641829,21.547433333333334,3.5915166666666667,21.547433333333334,23.06399847,32.62759366,0.645173777,0.036457275,18.57892891,Tokyo Bay,35.5,140,marine,Skeletonema costatum,Skeletonema costatum,NA,NA,NA,NA,costatum,Skeletonema,Skeletonemaceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,NA,diatoms,0.984826495,0.066476004,1.270107498,1.382677953,8,1.492,2.265132082,34.89272574,good,good,good,-498.2165975,-0.014343762,1,1,1,1,1,21.547433333333334,1.296705662523152,1.3684163184641829,-0.0111188
170,0.4447974462600846,0.4967414277055651,13.9136,1.30216,13.9136,16.95163289,16.94404326,0.433951119,0.016072336,16.37900743,"Monterrey Bay, CA, USA",36.61,-121.89,marine,Prorocentrum gracile,Prorocentrum gracile,NA,NA,NA,NA,gracile,Prorocentrum,Prorocentraceae,Prorocentrales,Dinophyceae,Dinophyta,Chromista,Eukaryota,NA,dinoflagellates,0.917378311,0.073377197,0.564635732,0.567252954,10,0.642905964,7.906985802,24.85102906,good,good,good,-17.57718644,-0.003613252,1,1,1,1,1,13.9136,0.48504546025942274,0.4967414277055651,-0.0137955
171,0.2193247473522491,0.24387416135798537,13.9136,1.30216,13.9136,23.55714388,25.4674782,0.064178875,0.101278445,17.31819609,"Monterrey Bay, CA, USA",36.61,-121.89,marine,Prorocentrum micans,Prorocentrum micans,NA,NA,NA,NA,micans,Prorocentrum,Prorocentraceae,Prorocentrales,Dinophyceae,Dinophyta,Chromista,Eukaryota,NA,dinoflagellates,0.924914161,0.047691043,0.370789337,0.530062939,20,0.554459661,4.584456988,30.05193519,good,good,good,-365.2499859,-0.022112222,1,1,1,1,1,13.9136,0.24514246018154418,0.24387416135798537,0.00149597
173,0.18811908986815495,0.2786604841830204,18.1327,5.36121,18.1327,27.59066745,28.07013578,0.081707832,0.071482014,21.76476656,"Potomac estuary, USA",38.22,-76.85,estuarine,Gyrodinium uncatenum strain GYRO,Gyrodinium uncatenum,NA,NA,GYRO,NA,uncatenum,Gyrodinium,Gymnodiniaceae,Gymnodiniales,Dinophyceae,Dinophyta,Chromista,Eukaryota,NA,dinoflagellates,0.876502025,0.053989647,0.387199169,0.486032813,19,0.478271555,7.729698665,35.79983445,good,good,good,-447.2728752,-0.020222694,1,1,1,1,1,18.1327,0.2781727097907529,0.2786604841830204,-3.39409e-5
188,1.284437204869288,1.5208802936499672,16.9784,4.51167,16.9784,16.66148716,28.1382629,1.325494676,0.008496659,15.82393141,39°36'N 70°06'W (continental shelf edge),39.6,-70.1,marine,Conticribra guillardii clone 7-15,Conticribra guillardii,Thalassiosira guillardi,Cyclotella nana,NA,Jul-15,guillardii,Conticribra,Thalassiosiraceae,Thalassiosirales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,NA,diatoms,0.998636963,0.014377223,1.516244077,1.521660864,5,1.476403495,1.754799963,29.89306286,good,good,good,-70.98250253,-0.0031861,1,1,1,1,1,16.9784,1.3614494722337174,1.5208802936499672,-0.0156649
191,0.2287627999184087,0.45124480071942225,15.9037,5.5691,15.9037,22.24638066,26.98372843,0.450199244,0.010922461,21.25820623,"Sandy Hook, NJ, USA",40.44,-73.98,marine,Cylindrotheca closterium,Cylindrotheca closterium,Nitzschia closterium,NA,NA,NA,closterium,Cylindrotheca,Bacillariaceae,Bacillariales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,NA,diatoms,0.99996909,0.00125634,0.567864125,0.570947125,4,0.569766982,7.766342016,34.75007045,good,good,good,-76.97862828,-0.003917999,1,1,1,1,1,15.9037,0.37149594297172117,0.45124480071942225,-0.00514262
